,Temperature (deg F),Dew Point (deg F),Pressure (atm)
392,79.5,72.8,1.0
393,83.2,72.5,1.0
394,86.3,71.4,1.0
395,89.1,70.4,1.0
396,91.5,69.3,1.0
397,93.1,68.6,1.0
398,94.3,67.9,1.0
399,94.8,67.3,1.0
400,94.6,67.0,1.0
401,94.0,67.0,1.0
402,92.0,67.0,1.0
403,88.8,68.0,1.0
404,85.5,69.0,1.0
405,83.3,69.6,1.0
406,81.6,70.1,1.0
407,80.1,70.5,1.0
408,79.2,70.6,1.0
409,77.5,71.0,1.0
410,76.6,71.2,1.0
411,75.9,71.3,1.0
412,75.4,71.3,1.0
413,74.9,71.1,1.0
414,74.8,71.0,1.0
415,75.9,72.0,1.0
416,79.5,72.9,1.0
417,83.1,72.5,1.0
418,86.3,71.5,1.0
419,89.1,70.5,1.0
420,91.5,69.4,1.0
421,93.1,68.7,1.0
422,94.3,67.9,1.0
423,94.8,67.3,1.0
424,94.6,67.1,1.0
425,93.9,67.1,1.0
426,91.9,67.1,1.0
427,88.8,68.1,1.0
428,85.6,68.9,1.0
429,83.4,69.5,1.0
430,81.7,70.1,1.0
431,80.1,70.5,1.0
432,79.2,70.6,1.0
433,77.5,70.9,1.0
434,76.6,71.1,1.0
435,75.9,71.2,1.0
436,75.3,71.2,1.0
437,74.9,71.0,1.0
438,74.8,70.9,1.0
439,75.8,71.9,1.0
440,79.5,72.8,1.0
441,83.1,72.5,1.0
442,86.3,71.5,1.0
443,89.1,70.4,1.0
444,91.5,69.3,1.0
445,93.1,68.6,1.0
446,94.3,67.9,1.0
447,94.8,67.3,1.0
448,94.7,67.0,1.0
449,94.0,67.0,1.0
450,92.1,67.0,1.0
451,88.9,68.1,1.0
452,85.7,68.9,1.0
453,83.5,69.5,1.0
454,81.7,70.1,1.0
455,80.2,70.5,1.0
456,79.2,70.6,1.0
457,77.6,70.9,1.0
458,76.6,71.0,1.0
459,75.9,71.1,1.0
460,75.3,71.1,1.0
461,74.8,71.0,1.0
462,74.7,70.8,1.0
463,75.8,71.9,1.0
464,79.5,72.8,1.0
465,83.2,72.4,1.0
466,86.4,71.4,1.0
467,89.2,70.4,1.0
468,91.5,69.2,1.0
469,93.2,68.6,1.0
470,94.4,67.9,1.0
471,94.8,67.2,1.0
472,94.7,66.9,1.0
473,94.1,66.9,1.0
474,92.1,67.0,1.0
475,88.9,68.0,1.0
476,85.7,68.9,1.0
477,83.5,69.5,1.0
478,81.8,70.1,1.0
479,80.2,70.4,1.0
480,79.3,70.5,1.0
481,77.6,70.8,1.0
482,76.6,71.0,1.0
483,75.9,71.1,1.0
484,75.3,71.1,1.0
485,74.8,71.0,1.0
486,74.7,70.8,1.0
487,75.7,71.9,1.0
488,79.4,72.7,1.0
489,83.1,72.4,1.0
490,86.3,71.4,1.0
491,89.1,70.4,1.0
492,91.4,69.3,1.0
493,93.1,68.6,1.0
494,94.3,67.8,1.0
495,94.7,67.3,1.0
496,94.6,67.0,1.0
497,94.0,67.0,1.0
498,92.0,67.0,1.0
499,88.7,68.1,1.0
500,85.5,68.9,1.0
501,83.4,69.5,1.0
502,81.7,70.1,1.0
503,80.1,70.4,1.0
504,79.2,70.4,1.0
505,77.5,70.8,1.0
506,76.5,70.9,1.0
507,75.8,71.0,1.0
508,75.2,71.0,1.0
509,74.8,70.9,1.0
510,74.7,70.8,1.0
511,75.6,71.7,1.0
512,79.4,72.6,1.0
513,83.0,72.3,1.0
514,86.3,71.3,1.0
515,89.0,70.3,1.0
516,91.4,69.2,1.0
517,93.0,68.5,1.0
518,94.2,67.8,1.0
519,94.6,67.2,1.0
520,94.6,66.9,1.0
521,93.8,66.9,1.0
522,91.7,66.9,1.0
523,88.5,67.9,1.0
524,85.4,68.7,1.0
525,83.3,69.3,1.0
526,81.6,70.0,1.0
527,80.0,70.2,1.0
528,79.1,70.3,1.0
529,77.4,70.6,1.0
530,76.5,70.7,1.0
531,75.7,70.8,1.0
532,75.1,70.8,1.0
533,74.6,70.7,1.0
534,74.5,70.6,1.0
535,75.5,71.5,1.0
536,79.2,72.5,1.0
537,82.9,72.1,1.0
538,86.2,71.2,1.0
539,88.9,70.1,1.0
540,91.3,69.0,1.0
541,92.8,68.4,1.0
542,94.0,67.6,1.0
543,94.5,67.1,1.0
544,94.5,66.8,1.0
545,93.7,66.8,1.0
546,91.6,66.8,1.0
547,88.3,67.8,1.0
548,85.2,68.6,1.0
549,83.1,69.2,1.0
550,81.4,69.9,1.0
551,79.9,70.1,1.0
552,78.9,70.1,1.0
553,77.3,70.5,1.0
554,76.4,70.6,1.0
555,75.7,70.7,1.0
556,75.0,70.7,1.0
557,74.5,70.6,1.0
558,74.4,70.5,1.0
559,75.4,71.4,1.0
560,79.2,72.4,1.0
561,82.9,72.0,1.0
562,86.2,71.1,1.0
563,88.8,70.2,1.0
564,91.1,69.0,1.0
565,92.7,68.4,1.0
566,93.9,67.6,1.0
567,94.3,67.1,1.0
568,94.3,66.8,1.0
569,93.5,66.8,1.0
570,91.5,66.8,1.0
571,88.2,67.9,1.0
572,85.1,68.6,1.0
573,83.0,69.2,1.0
574,81.3,69.9,1.0
575,79.7,70.1,1.0
576,78.9,70.1,1.0
577,77.3,70.5,1.0
578,76.4,70.5,1.0
579,75.6,70.6,1.0
580,74.9,70.6,1.0
581,74.5,70.5,1.0
582,74.3,70.4,1.0
583,75.3,71.3,1.0
584,79.1,72.2,1.0
585,82.7,71.9,1.0
586,86.0,71.1,1.0
587,88.7,70.1,1.0
588,91.0,69.0,1.0
589,92.6,68.4,1.0
590,93.8,67.6,1.0
591,94.1,67.1,1.0
592,94.0,66.8,1.0
593,93.2,66.8,1.0
594,91.2,66.8,1.0
595,87.9,67.8,1.0
596,84.9,68.5,1.0
597,82.7,69.2,1.0
598,81.0,69.8,1.0
599,79.6,70.0,1.0
600,78.8,70.0,1.0
601,77.2,70.3,1.0
602,76.2,70.4,1.0
603,75.5,70.5,1.0
604,74.8,70.4,1.0
605,74.4,70.4,1.0
606,74.2,70.3,1.0
607,75.2,71.2,1.0
608,79.0,72.1,1.0
609,82.6,71.8,1.0
610,85.9,71.0,1.0
611,88.6,70.1,1.0
612,90.9,68.9,1.0
613,92.4,68.3,1.0
614,93.6,67.6,1.0
615,94.0,67.1,1.0
616,93.9,66.7,1.0
617,93.0,66.8,1.0
618,91.0,66.8,1.0
619,87.8,67.8,1.0
620,84.7,68.5,1.0
621,82.6,69.1,1.0
622,81.0,69.8,1.0
623,79.4,69.9,1.0
624,78.6,70.0,1.0
625,77.0,70.3,1.0
626,76.2,70.3,1.0
627,75.4,70.4,1.0
628,74.7,70.3,1.0
629,74.2,70.3,1.0
630,74.1,70.1,1.0
631,75.0,71.0,1.0
632,78.9,72.0,1.0
633,82.6,71.7,1.0
634,85.8,71.0,1.0
635,88.6,70.0,1.0
636,90.8,68.8,1.0
637,92.3,68.3,1.0
638,93.3,67.6,1.0
639,93.7,67.1,1.0
640,93.6,66.7,1.0
641,92.7,66.8,1.0
642,90.7,66.8,1.0
643,87.5,67.8,1.0
644,84.4,68.5,1.0
645,82.2,69.1,1.0
646,80.7,69.7,1.0
647,79.2,69.9,1.0
648,78.4,69.9,1.0
649,76.9,70.2,1.0
650,76.0,70.2,1.0
651,75.3,70.2,1.0
652,74.6,70.2,1.0
653,74.1,70.1,1.0
654,74.0,70.0,1.0
655,74.9,70.8,1.0
656,78.7,71.7,1.0
657,82.4,71.5,1.0
658,85.7,70.8,1.0
659,88.4,69.9,1.0
660,90.6,68.8,1.0
661,92.1,68.2,1.0
662,93.1,67.5,1.0
663,93.5,67.0,1.0
664,93.3,66.7,1.0
665,92.3,66.7,1.0
666,90.3,66.8,1.0
667,87.1,67.7,1.0
668,84.1,68.4,1.0
669,81.9,69.0,1.0
670,80.4,69.6,1.0
671,78.9,69.8,1.0
672,78.2,69.8,1.0
673,76.7,70.1,1.0
674,75.9,70.1,1.0
675,75.1,70.1,1.0
676,74.5,70.1,1.0
677,74.0,69.9,1.0
678,73.8,69.8,1.0
679,74.7,70.7,1.0
680,78.5,71.6,1.0
681,82.2,71.4,1.0
682,85.5,70.7,1.0
683,88.2,69.8,1.0
684,90.4,68.7,1.0
685,91.9,68.1,1.0
686,92.9,67.4,1.0
687,93.3,67.0,1.0
688,93.2,66.6,1.0
689,92.2,66.6,1.0
690,90.1,66.6,1.0
691,86.9,67.5,1.0
692,83.9,68.2,1.0
693,81.7,68.8,1.0
694,80.1,69.3,1.0
695,78.7,69.6,1.0
696,78.0,69.6,1.0
697,76.5,69.8,1.0
698,75.7,69.9,1.0
699,74.9,69.8,1.0
700,74.3,69.8,1.0
701,73.7,69.7,1.0
702,73.7,69.6,1.0
703,74.5,70.4,1.0
704,78.3,71.3,1.0
705,82.1,71.2,1.0
706,85.4,70.6,1.0
707,88.1,69.7,1.0
708,90.4,68.5,1.0
709,91.8,68.0,1.0
710,92.8,67.3,1.0
711,93.3,66.8,1.0
712,93.1,66.4,1.0
713,92.1,66.4,1.0
714,90.0,66.4,1.0
715,86.8,67.3,1.0
716,83.7,67.9,1.0
717,81.5,68.5,1.0
718,79.9,69.1,1.0
719,78.4,69.3,1.0
720,77.8,69.3,1.0
721,76.3,69.6,1.0
722,75.5,69.6,1.0
723,74.7,69.6,1.0
724,74.1,69.6,1.0
725,73.5,69.4,1.0
726,73.4,69.3,1.0
727,74.3,70.1,1.0
728,78.1,71.1,1.0
729,81.9,71.0,1.0
730,85.2,70.4,1.0
731,87.9,69.5,1.0
732,90.1,68.5,1.0
733,91.6,67.9,1.0
734,92.6,67.2,1.0
735,93.1,66.7,1.0
736,93.0,66.2,1.0
737,91.9,66.3,1.0
738,89.8,66.3,1.0
739,86.6,67.2,1.0
740,83.4,67.8,1.0
741,81.2,68.4,1.0
742,79.7,68.9,1.0
743,78.2,69.2,1.0
